Samples,consensus_5,consensus_4,consensus_1,consensus_2,consensus_3
P-0000012-T03-IM3,63.77844370664226,24.02446553480857,5.459986764318771,0.0,25.352325579313177
P-0000012-T02-IM3,59.87169868762634,16.800747783788342,8.468831145131704,10.573974631145234,0.0
P-0000015-T01-IM3,44.275354964335826,47.79916972005587,10.276185163534167,14.68271072028557,0.0
P-0000036-T01-IM3,49.24333257353006,0.0,0.0,1.1332645929745604,0.0
P-0000041-T01-IM3,41.771880284219144,84.05160213016788,22.452918954365273,6.334620796748211,18.446826926760817
P-0000066-T01-IM3,42.29319068513967,31.745340031281057,23.767156479420613,7.986122392015659,0.0
P-0000058-T01-IM3,19.68110888891707,99.9540428247337,27.982813425571916,7.456911599523028,14.557020206222537
P-0000057-T01-IM3,54.66155790755457,53.57593938274761,0.0,0.0,22.896788645741854
P-0000138-T01-IM3,47.88710102114712,80.93206008128405,0.0,0.0,31.352587613867723
P-0003974-T01-IM3,35.544860622271024,38.08073157159292,18.831230018233704,8.81708514904446,0.0
P-0003958-T01-IM3,52.94284915602631,32.86443898545799,12.092891487222964,0.8628734802838698,14.265863106462794
P-0003961-T01-IM3,50.85246127536714,29.857846641113657,15.309578587477729,2.162153366270756,7.269494869312049
P-0000155-T01-IM3,30.63552315194798,98.5510699533244,38.630109708303756,0.0,22.36508418601864
P-0000259-T01-IM3,72.80944553092502,3.4224984143876584,0.0,0.0,2.6244743487080955
P-0000204-T01-IM3,54.928983807697094,48.24677552834009,0.0,2.5817230794451875,9.14897635281495
P-0000585-T01-IM3,55.15740860898012,65.0702772012381,3.909446282827822,19.447792021128066,9.036946073292068
P-0000584-T01-IM3,46.126669998972915,53.99982438226057,2.9279824747622243,7.7766951181635156,20.994216527342687
P-0000597-T01-IM3,45.9746374700509,45.98411999223748,10.74883069953647,0.0,29.026567069791277
P-0004023-T01-IM3,44.19399519403447,55.72941498880334,24.925833310303982,2.8534718723583485,8.265482787981826
P-0004001-T01-IM3,52.40373836414633,73.4654958244209,31.965701490399756,0.0,37.20556837322164
P-0000550-T05-IM3,58.06058825995276,0.0,0.0,5.207436895102957,6.009553779074308
P-0003940-T01-IM3,52.89246039711495,67.29292283888859,0.0,15.565123364878275,0.0
