MutationType,consensus_5,consensus_4,consensus_1,consensus_2,consensus_3
0:homdel:0-100kb,2.3300000233000003e-06,1.3481039417856805e-05,0.0,0.0,0.0
0:homdel:100kb-1Mb,2.1600000216e-06,2.1287901111782412e-05,0.0,0.0,0.0
0:homdel:>1Mb,1.2947046962429908e-06,4.9979805456984315e-06,0.0,0.0,0.0
1:LOH:0-100kb,0.012389657064988409,0.03609107739565522,0.04793521791476884,0.0,0.0
1:LOH:100kb-1Mb,0.0007690317010180008,0.019937812317200314,0.03844452078063333,0.0,0.0
1:LOH:1Mb-10Mb,1.001382135744213e-10,0.025557311040355718,0.1257008501840146,0.001274303463105519,0.0
1:LOH:10Mb-40Mb,2.2400000224000003e-06,0.004766339541918104,0.16325254,0.0,0.0063834715363695746
1:LOH:>40Mb,2.2200000222e-06,0.0004019785060484003,0.07272103,0.0,0.022487307865930672
2:het:0-100kb,0.017278640549438305,0.02934732343390382,1e-08,0.0,0.003069805469623704
2:het:100kb-1Mb,0.006290104962465205,0.04207373992512222,8.270377936642251e-08,0.0,0.0
2:het:1Mb-10Mb,0.026159463386444405,0.1643502901092971,2.3829391997231433e-05,0.0,0.0
2:het:10Mb-40Mb,0.13668229136682292,0.2013982243439991,0.043540027750894154,0.0,0.0
2:het:>40Mb,0.38361495947551366,0.03863458961365411,0.0,0.008632117951333536,0.0
3-4:het:0-100kb,0.004625438474643102,0.051749982101826415,1.894e-05,0.0,0.0
3-4:het:100kb-1Mb,0.0022616386073212014,0.03727601718709021,0.00065545,0.004102310960041441,0.0
3-4:het:1Mb-10Mb,0.010392467736089803,0.08543797266053155,0.04196158,0.011762926173830537,0.0
3-4:het:10Mb-40Mb,0.005090774826615604,0.027810570912032612,0.102649594935075,0.0,0.0
3-4:het:>40Mb,0.010365015283943907,0.0008822624250752005,0.09997231075163829,0.0,0.0004010841437364744
5-8:het:0-100kb,0.00010605899963200013,0.005273534574438303,0.0,0.0,0.0
5-8:het:100kb-1Mb,0.00043897694829000034,0.0035113143052672023,0.0,0.0,0.0
5-8:het:1Mb-10Mb,0.00012274710876350011,0.0014793205661411011,0.015378908351009813,0.06657688161883049,0.0
5-8:het:10Mb-40Mb,2.00000002e-06,6.307082897491243e-05,0.0,0.0,0.0
5-8:het:>40Mb,2.4900000249e-06,7.564511096192213e-06,0.0,0.0,0.0
9+:het:0-100kb,0.00025260557119160013,0.00011971680979530007,0.0,0.0,0.0
9+:het:100kb-1Mb,0.0004157634005131003,0.0002896127105399001,0.0,0.0,0.0
9+:het:1Mb-10Mb,2.7800000278e-06,0.00012821508734270007,0.0,0.0,0.0
9+:het:10Mb-40Mb,2.7800000278e-06,7.126310207242985e-06,0.0,0.0,0.0
9+:het:>40Mb,9.999911851023276e-11,0.0,0.0,0.0,0.0
